transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
366099,40399,40612,2.4574e+06,19480,3,0,6225.16,1179.59,3458.06,-3.21424,-1.92113,6.41718,7215.64,0.001612,1.72369,2.29922,0.271471,4.49002,-5.10327,-1141.66,7117.54,-7.16131,-1.96221,-0.323551,7201.17,0.0011314,1.72381,4.31009,0.274158,3.58746,7244.14,0.00515003,1.72392,1.31102,0.271597,5.47824,-0.0194477,-0.00817325,0.00471319,0.0262859,-0.00976747,-0.0167675,0.0542881
379080,40409,40416,2.4574e+06,25940,4,0,3362.5,1878.42,-6111.29,6.28632,1.08313,3.79087,7208.43,0.00212922,1.72374,2.1599,0.26236,3.09582,5722.03,863.286,4313.7,-4.10794,-2.04711,5.8438,7216.4,0.00121727,1.72367,2.36767,0.264852,4.56492,7196.86,0.0050111,1.7227,2.83981,0.264104,2.41618,0.00222729,0.0196148,-0.0211355,0.013714,-0.0089,0.0194131,0.0543008
16627,20439,20440,2.4574e+06,6560,1,0,-4387.55,5491.6,-1380.56,1.77134,-0.404719,-7.23658,7166.66,0.000461141,1.72013,3.49612,5.41605,6.12481,-3031.28,4636.02,-4537.43,3.73814,-3.09982,-5.6633,7158.64,0.000249405,1.71987,0.285915,5.41481,3.55122,7201.38,0.00573291,1.72171,3.74249,5.41637,5.87848,0.0233122,-0.00570463,-0.0124534,-0.0226016,-0.0053928,0.017135,0.0559095
149669,27842,27846,2.4574e+06,19480,3,0,-5292.23,-1345.63,-4708.58,4.23989,2.60587,-5.51336,7195.05,0.00214492,1.72236,0.853206,0.38107,3.01001,1867.73,1862.67,-6705.83,6.62052,2.27354,2.48372,7186.99,0.00283681,1.72244,1.54356,0.38504,3.51288,7222.48,0.00245364,1.72349,4.68162,0.382079,5.46494,0.0152429,0.0181442,0.00126498,-0.028614,0.0118968,0.0107346,0.0565262
16647,20439,20440,2.4574e+06,6560,1,0,4707.47,-5148.04,-1634.67,0.294493,-2.01124,7.17727,7166.38,0.000260619,1.72013,5.45866,5.41785,0.59171,4257.87,-5447.81,1877.86,-2.09545,0.817771,7.1115,7164.79,0.000427189,1.7198,1.84504,5.41658,4.70638,7199.75,0.00500764,1.72242,0.0191599,5.4173,6.03113,-0.0193635,-0.00845222,0.0163384,0.0129827,0.0204054,-0.0174561,0.0565352
156249,27846,27842,2.4574e+06,19480,3,0,6310.49,2854.06,-1957.3,2.29273,-0.244345,7.07816,7201.52,0.00166684,1.72229,0.921263,0.381585,5.08322,3415.81,345.057,6311,-5.94263,-2.9674,3.37556,7188.71,0.000703658,1.72242,1.64519,0.38539,5.73234,7176.8,0.00288294,1.72071,3.0434,0.382041,2.96116,0.00507049,0.0176876,-0.014538,0.0135093,-0.0270792,0.0137719,0.0566985
156234,27846,27842,2.4574e+06,19480,3,0,4887.85,2702,-4546.41,4.72386,0.957131,5.66329,7195.54,0.00157865,1.72235,1.43205,0.380341,4.15841,5441,1464.17,4461.08,-4.0169,-2.56699,5.72784,7195.82,0.00171203,1.72235,1.42493,0.384086,5.53715,7176.77,0.00352516,1.72009,2.6587,0.382241,2.93205,-0.00374936,0.0245943,-0.0138983,0.0143625,-0.0200935,0.0139725,0.0568745
366084,40399,40612,2.4574e+06,19480,3,0,6947.12,1792.41,826.168,-0.536527,-1.31415,7.29101,7219.59,0.00115394,1.72365,1.98449,0.270242,4.4147,2648.19,-331.644,6698.54,-6.62525,-2.25381,2.4998,7203.22,0.00142012,1.72378,3.60579,0.272798,3.89991,7244.34,0.0047791,1.72283,0.99003,0.270145,5.40915,-0.0207828,-0.00111409,0.0111669,0.0186535,-0.0126804,-0.0245994,0.056994
156229,27846,27842,2.4574e+06,19480,3,0,-6617.59,-2382.51,-1575.16,1.11232,1.62229,-7.16869,7201.98,0.00145799,1.72228,1.22457,0.379775,2.13993,-293.64,1055.76,-7124.42,6.89066,2.76063,0.131174,7184.98,0.00333221,1.72246,1.34316,0.383754,3.38629,7176.89,0.00558622,1.72253,0.916241,0.379831,2.44827,-0.0186967,-0.00691267,0.0090665,-0.00745966,0.0308915,-0.015222,0.0571356
156239,27846,27842,2.4574e+06,19480,3,0,576.775,-938.03,7100,-6.90152,-2.79434,0.196942,7184.94,0.000725867,1.72246,6.26689,0.38067,1.56107,-6416.15,-2859.46,1591.42,-1.96459,0.384635,-7.16453,7201.99,0.00193203,1.72228,1.30632,0.384652,1.60986,7176.89,0.00359502,1.72256,5.93921,0.384587,1.88934,0.0161592,-0.0274696,0.0153356,-0.0182377,-0.00823566,-0.00898437,0.0573031
