transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
230125,27715,28790,2.4574e+06,414740,4,1,-39744.9,-14069,-8.39806,1.0265,-2.89852,-0.000849928,42165.9,0.00017866,0.000340724,4.72619,5.99901,5.32298,-30502.6,29122.1,12.5382,-2.12263,-2.22365,-0.000649121,42165.5,0.000185998,0.000364649,4.82763,0.191051,3.64385,42102.6,0.00181148,0.000477479,6.02713,6.19308,3.82797,0.00213397,0.00320867,-0.000482718,0.000242071,-0.00340769,0.000497908,0.00733598
244875,28884,27715,2.4574e+06,414740,4,1,-40626,-11292.5,-17.439,0.824049,-2.96204,-0.00117583,42164.8,0.000225426,0.000563364,5.69168,5.72993,4.55747,-28391.5,31178.6,4.65729,-2.27291,-2.07021,3.66581e-05,42165.5,0.000137553,0.000111088,3.59124,0.846304,4.15508,42103.3,0.00178795,0.000530676,0.312989,5.66069,3.72222,0.0016463,0.00278824,0.000155481,0.000411482,-0.00382505,0.00163096,0.00742028
230040,27715,27954,2.4574e+06,414740,4,1,533.029,-42154.3,13.8727,3.07496,0.0388369,0.000566729,42165.9,0.00019739,0.000377156,0.985586,3.66474,0.0747064,-38037.4,-18181.8,39.4482,1.3268,-2.77406,-0.00323756,42164.9,0.000271469,0.00140839,3.48999,1.17254,5.20814,42133.1,0.000719402,0.000938323,5.29941,1.94176,3.76705,-0.00121739,0.00132443,-0.00326837,0.00213883,-0.0002646,-0.00302266,0.00744302
204710,26608,25239,2.4574e+06,414740,4,1,-38104.6,-18044.6,0.314891,1.31624,-2.77901,-0.000163552,42166.6,0.000143635,5.37097e-05,3.4932,0.581777,5.79207,-32569.4,26806.4,53.1463,-1.95255,-2.37351,-0.00207735,42167,0.000440506,0.00142962,4.61069,0.389951,3.73549,42127.9,0.00131933,0.00138899,5.35066,0.447645,4.06874,0.00213997,0.0025792,-0.00410554,0.000313299,-0.00210366,-0.000282134,0.00744522
220065,27438,27683,2.4574e+06,414740,4,1,40684.1,11089,6.78841,-0.807762,2.96643,0.000835597,42166.1,0.000250246,0.000315854,5.04631,6.01447,1.77169,24149.1,-34548.1,-43.465,2.521,1.76191,-0.000340792,42166.7,0.000365358,0.00103709,4.41162,0.717029,0.193792,42211.5,0.00153258,0.00116416,5.5821,0.127373,0.839808,0.00222191,0.002313,0.00271163,-0.000194609,-0.00256625,-0.00200546,0.0074627
230120,27715,28790,2.4574e+06,414740,4,1,24112.1,34596.7,-4.41745,-2.52202,1.75802,-0.0010578,42165.9,0.000129664,0.000359663,0.970249,3.80818,2.46688,41745.1,-5894.93,-4.59608,0.430549,3.04478,0.00113729,42165.5,0.000240158,0.000385596,5.08778,0.146347,0.908772,42102.4,0.00175492,0.000125533,1.74409,1.94928,3.55194,0.00052847,-0.00329734,0.00127053,-0.00251278,0.00268247,0.00132892,0.00748137
192770,26038,27438,2.4574e+06,414740,4,1,-39706.7,14066.5,19.4975,-1.02735,-2.89875,0.000909626,42106,0.00046321,0.000549252,4.43384,1.79886,2.85161,-1762.08,42138.9,1.03439,-3.07121,-0.128517,5.66094e-05,42166.4,0.000223477,3.06707e-05,3.93485,0.685882,3.27504,42177.4,0.00133288,0.000489611,1.59295,1.56247,5.92889,0.000854019,-0.00306615,-0.000418884,0.000229733,0.00401763,-0.00144661,0.00748662
244865,28884,27715,2.4574e+06,414740,4,1,-2393.44,-42087.4,-21.3092,3.07039,-0.174178,0.000914621,42164.8,0.000264783,0.000586456,5.80044,5.69467,5.72684,-38656.3,-16829.3,2.10521,1.22783,-2.81918,-0.000400588,42165.5,0.000180781,0.000139509,3.67582,0.776649,5.38292,42103,0.00154314,0.000593536,0.387903,0.494839,3.77284,-0.00212327,0.00249771,-0.00186913,0.00329205,-0.00106092,0.00141658,0.00751128
230150,27715,28884,2.4574e+06,414740,4,1,-39744.9,-14069,-8.39806,1.0265,-2.89852,-0.000849928,42165.9,0.00017866,0.000340724,4.72619,5.99901,5.32298,-26224.7,33027.1,10.2788,-2.40738,-1.91163,-0.000450596,42164.3,0.00019731,0.00028441,5.15141,0.129659,3.244,42223.3,0.00165124,0.000382148,3.2071,6.07511,0.482789,-0.00194714,-0.00290642,-0.000154049,-0.000447729,0.00401473,0.000455683,0.007567
219735,27438,26038,2.4574e+06,414740,4,1,-26638.4,-32672.3,-12.6976,2.38383,-1.94299,-0.000386181,42166.1,0.000291453,0.000326352,4.85309,5.99429,5.74737,-41140.8,9054.29,25.4475,-0.661229,-3.00345,0.000877648,42106.1,0.00046198,0.000668088,4.42811,1.79544,2.9846,42102.1,0.00126987,0.000881721,0.364484,0.538151,3.12574,-0.00214072,0.00107601,-0.00216038,0.00318572,-0.000855699,0.00285064,0.00758582
220070,27438,27683,2.4574e+06,414740,4,1,-39518.3,14710.9,1.47486,-1.07186,-2.88159,-0.000928473,42166.1,0.00025246,0.000304003,4.73649,6.04213,4.57298,478.186,42175.1,32.9369,-3.07355,0.0352462,0.00218137,42166.7,0.000295233,0.00105514,4.43066,0.72624,2.68574,42211.3,0.00113551,0.000817986,2.67321,5.9696,0.425613,-0.00264361,-0.000768496,-0.0015854,0.00165652,0.00288221,0.00293215,0.00760959
215100,27380,27513,2.4574e+06,414740,4,1,37035.2,20155.8,4.82254,-1.46895,2.70108,0.00151298,42165.7,0.000306656,0.000505162,5.01683,0.270015,1.49475,34761.5,-23841.1,-1.30403,1.74004,2.53606,2.46808e-05,42165,0.000366521,3.19618e-05,4.43969,0.715662,0.526668,42099.6,0.00165876,0.000147409,3.65913,5.89346,3.51218,-0.00129563,-0.0034527,-0.00122749,-0.000984852,0.00357358,-0.000418146,0.00761703
230035,27715,27954,2.4574e+06,414740,4,1,-24975.3,33978,-16.3123,-2.47695,-1.82107,0.000212791,42166,0.000134481,0.000392963,0.852638,3.5985,4.03671,20321.7,36953.2,-5.66902,-2.69343,1.4817,0.00421783,42165,0.000225745,0.00137865,3.71514,1.16567,2.47039,42132.9,0.00107313,0.000388081,0.862447,3.85589,3.76951,0.00192912,-0.000588274,-0.000307863,-0.00158856,-0.000467705,0.00533676,0.00762797
247275,29236,27445,2.4574e+06,414740,4,1,-27384.9,-32051.6,0.254923,2.33862,-1.99701,9.01524e-05,42166.7,0.000353406,2.99342e-05,1.09436,3.80194,5.39224,-40947.2,10090.2,34.2704,-0.735529,-2.9849,-0.00244337,42167,0.000121416,0.00113669,5.45353,0.554886,3.17476,42105,0.00169916,0.000906348,5.52622,0.870425,3.89189,5.27571e-05,0.00353218,-0.00287532,0.00123442,-0.00263459,-0.00121187,0.00770659
242385,28790,27715,2.4574e+06,414740,4,1,-27289.1,32153.9,14.5204,-2.34362,-1.98931,-0.0011119,42165.9,0.000184134,0.000499357,5.14137,6.17692,3.52261,21621.4,36205.4,1.88071,-2.63933,1.57643,0.000460279,42165.6,0.000128146,0.000156217,4.02108,0.742932,2.55162,42225.5,0.00156992,0.000351412,0.708669,0.905193,0.660673,-0.003704,0.00101416,0.00132922,0.00334199,0.00134505,-0.000611967,0.00771798
242395,28790,27715,2.4574e+06,414740,4,1,21632.9,36198.2,19.116,-2.63869,1.57757,0.000639989,42165.8,0.000198921,0.000498791,5.35637,6.17487,2.06725,41235,-8797.34,-4.4733,0.642035,3.00702,0.000199766,42165.5,0.000169333,0.000124416,4.04347,0.811024,1.2185,42225.4,0.00172112,0.000525887,0.337325,6.27613,0.701857,-0.000383203,0.00357981,0.000181703,0.00268435,-0.00279948,-0.00138539,0.00772336
215085,27380,27513,2.4574e+06,414740,4,1,29987.3,-29623.5,-17.4904,2.16169,2.1878,0.000699472,42165.8,0.000341341,0.000473196,4.91143,0.290043,0.302423,-12805.4,-40160.5,-3.59769,2.93038,-0.933678,-0.000236697,42165.1,0.000364154,0.000114936,4.60823,0.425219,5.65346,42099.8,0.00146384,0.00043067,0.739716,1.06263,3.70154,-0.0036173,0.000187868,-0.00105295,0.00317495,0.0021112,0.00106077,0.00772973
